,ISLs,bresenham,dijkstra
0,1,0.00762939453125,0.11730194091796875
1,3,0.0064373016357421875,0.2856254577636719
2,3,0.008344650268554688,0.20933151245117188
3,4,0.0069141387939453125,0.23055076599121094
4,6,0.00667572021484375,0.38051605224609375
5,1,0.0073909759521484375,0.05888938903808594
6,2,0.0057220458984375,0.07224082946777344
7,3,0.011205673217773438,0.179290771484375
8,3,0.008344650268554688,0.19693374633789062
9,7,0.009298324584960938,0.4601478576660156
10,5,0.015974044799804688,0.28252601623535156
11,6,0.015974044799804688,0.3407001495361328
12,4,0.007152557373046875,0.1862049102783203
13,3,0.006198883056640625,0.141143798828125
14,1,0.006198883056640625,0.06341934204101562
15,5,0.007152557373046875,0.30875205993652344
16,6,0.00762939453125,0.42366981506347656
17,5,0.007152557373046875,0.46133995056152344
18,8,0.009059906005859375,0.4668235778808594
19,6,0.007867813110351562,0.44727325439453125
20,1,0.007152557373046875,0.06604194641113281
21,3,0.00762939453125,0.20599365234375
22,3,0.0069141387939453125,0.17309188842773438
23,4,0.007152557373046875,0.23508071899414062
24,6,0.007152557373046875,0.4360675811767578
25,1,0.009298324584960938,0.1239776611328125
26,2,0.008106231689453125,0.14352798461914062
27,3,0.013828277587890625,0.21123886108398438
28,3,0.009059906005859375,0.24771690368652344
29,7,0.012636184692382812,0.6909370422363281
30,5,0.017642974853515625,0.29468536376953125
31,6,0.018596649169921875,0.3917217254638672
32,4,0.009775161743164062,0.33926963806152344
33,3,0.012159347534179688,0.19812583923339844
34,1,0.0064373016357421875,0.0629425048828125
35,5,0.0073909759521484375,0.38242340087890625
36,6,0.009775161743164062,0.5192756652832031
37,1,0.007867813110351562,0.08153915405273438
38,8,0.009298324584960938,0.6518363952636719
39,6,0.01239776611328125,0.637054443359375
40,4,0.0171661376953125,0.29468536376953125
41,4,0.011682510375976562,0.27251243591308594
42,4,0.02002716064453125,0.26297569274902344
43,5,0.010967254638671875,0.36406517028808594
44,8,0.017404556274414062,0.8580684661865234
45,8,0.02384185791015625,1.1036396026611328
46,6,0.019311904907226562,0.7078647613525391
47,7,0.017404556274414062,0.9100437164306641
48,8,0.02193450927734375,1.0766983032226562
49,2,0.011920928955078125,0.2319812774658203
50,2,0.021219253540039062,0.17070770263671875
51,5,0.010967254638671875,0.5156993865966797
52,5,0.023365020751953125,0.4730224609375
53,2,0.014781951904296875,0.16379356384277344
